HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id_0,Input.url_0,Input.label_0,Input.id_1,Input.url_1,Input.label_1,Input.id_2,Input.url_2,Input.label_2,Input.id_3,Input.url_3,Input.label_3,Input.id_4,Input.url_4,Input.label_4,Input.id_5,Input.url_5,Input.label_5,Input.id_6,Input.url_6,Input.label_6,Input.id_7,Input.url_7,Input.label_7,Input.id_8,Input.url_8,Input.label_8,Input.id_9,Input.url_9,Input.label_9,Approve,Reject,complete-time-0,complete-time-1,complete-time-2,complete-time-3,complete-time-4,complete-time-5,complete-time-6,complete-time-7,complete-time-8,complete-time-9,load-time,start-time,worker-platform,worker-language,worker-local-time,end-time,Answer.label_0,Answer.label_1,Answer.label_2,Answer.label_3,Answer.label_4,Answer.label_5,Answer.label_6,Answer.label_7,Answer.label_8,Answer.label_9,is-correct_0,is-correct_1,is-correct_2,is-correct_3,is-correct_4,is-correct_5,is-correct_6,is-correct_7,is-correct_8,is-correct_9,total-correct
344M16OZKIFRJWGDL0YVSJFMX0OEN7,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3HWRJOOET52RLT6CJYKIFXLFJNNSEC,A1ZDR2UN7M92LI,Submitted,2021-01-12T01:37:14+00:00,2021-01-12T01:38:28+00:00,2021-01-19T01:38:28+00:00,,,,74,0% (0/0),0% (0/0),0% (0/0),531646,http://farm1.staticflickr.com/21/34971536_72bfa99777_z.jpg,Bottle,68130,http://farm7.staticflickr.com/6141/6022871891_a601326786_z.jpg,Handbag,498804,http://farm9.staticflickr.com/8328/8085915083_08105e0356_z.jpg,Clock,298623,http://farm1.staticflickr.com/102/304974724_b3af730482_z.jpg,Cutlery,551243,http://farm5.staticflickr.com/4015/4242748448_d2b0d12e31_z.jpg,Bottle,96475,http://farm4.staticflickr.com/3370/3273942854_cde1b80ce5_z.jpg,Cutlery,299325,http://farm9.staticflickr.com/8246/8664678413_ed02939fa9_z.jpg,Cutlery,46524,http://farm8.staticflickr.com/7380/9558436558_cbaa471585_z.jpg,Cutlery,420501,http://farm8.staticflickr.com/7153/6441935233_93cc7aae63_z.jpg,Handbag,456784,http://farm6.staticflickr.com/5296/5495751348_60053204fb_z.jpg,Cutlery,,,2021-01-12T01:38:09.431Z,2021-01-12T01:37:50.003Z,2021-01-12T01:38:04.311Z,2021-01-12T01:37:34.607Z,2021-01-12T01:38:28.108Z,2021-01-12T01:38:20.432Z,2021-01-12T01:38:00.692Z,2021-01-12T01:37:43.282Z,2021-01-12T01:37:53.755Z,2021-01-12T01:38:17.564Z,2021-01-12T01:37:16.803Z,2021-01-12T01:37:28.441Z,MacIntel,en-US,Mon Jan 11 2021 17:37:16 GMT-0800 (Pacific Standard Time),2021-01-12T01:38:28.108Z,None,None,Clock,Cutlery,None,Cutlery,None,None,Handbag,Cutlery,0,0,1,1,0,1,0,0,1,1,5
3CMV9YRYP3196CZKNOT7C7OPXDKJLV,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3KB8R4ZV1E7QOLL1E7OBPBWRSFGBGB,A1N04FX8AHYPBU,Submitted,2021-01-12T01:28:59+00:00,2021-01-12T01:30:14+00:00,2021-01-19T01:30:14+00:00,,,,75,0% (0/0),0% (0/0),0% (0/0),473134,http://farm9.staticflickr.com/8248/8664685859_32ff5e441e_z.jpg,Cutlery,137727,http://farm9.staticflickr.com/8548/8704046688_3b331f7d73_z.jpg,Handbag,432964,http://farm2.staticflickr.com/1144/1392812442_c455adca64_z.jpg,Clock,195890,http://farm8.staticflickr.com/7265/7698854782_c7aba8fb32_z.jpg,Clock,432160,http://farm4.staticflickr.com/3008/3280931671_0cac72041d_z.jpg,Handbag,277553,http://farm5.staticflickr.com/4012/4592001448_5d2fc35926_z.jpg,None,313946,http://farm6.staticflickr.com/5067/5600416513_23428f56d9_z.jpg,Cutlery,94419,http://farm1.staticflickr.com/55/145519152_7b89fda343_z.jpg,Bottle,114503,http://farm5.staticflickr.com/4029/4696484697_40585a1c55_z.jpg,Bottle,461655,http://farm7.staticflickr.com/6043/6377628663_fd8ac6dc2d_z.jpg,Bottle,,,2021-01-12T01:29:59.224Z,2021-01-12T01:29:49.669Z,2021-01-12T01:30:04.284Z,2021-01-12T01:30:02.350Z,2021-01-12T01:29:44.857Z,2021-01-12T01:30:09.278Z,2021-01-12T01:29:56.419Z,2021-01-12T01:29:40.892Z,2021-01-12T01:30:12.436Z,2021-01-12T01:29:54.095Z,2021-01-12T01:29:17.633Z,2021-01-12T01:29:35.343Z,Win32,en-US,Mon Jan 11 2021 17:29:17 GMT-0800 (Pacific Standard Time),2021-01-12T01:30:12.436Z,Bottle,Cutlery,Clock,Clock,Handbag,Handbag,Cutlery,Bottle,Bottle,Bottle,0,0,1,1,1,0,1,1,1,1,7
3VQTAXTYN3L67JO28A8R561V2Z4BUW,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3Q8GYXHFEP2BITONBB1FWYBKKR15CT,A3VBNWON5XOUVS,Submitted,2021-01-12T01:21:12+00:00,2021-01-12T01:22:45+00:00,2021-01-19T01:22:45+00:00,,,,93,0% (0/0),0% (0/0),0% (0/0),85481,http://farm3.staticflickr.com/2806/8930654945_4bc8c37221_z.jpg,Cutlery,304099,http://farm7.staticflickr.com/6153/6138775326_f7653f716c_z.jpg,Handbag,200867,http://farm6.staticflickr.com/5342/10038438683_5bef88eaa2_z.jpg,Handbag,558784,http://farm3.staticflickr.com/2482/4062695902_d2e2cdf1fa_z.jpg,None,22446,http://farm6.staticflickr.com/5335/9290901127_b2918fcf42_z.jpg,None,310317,http://farm1.staticflickr.com/85/247575410_ed04748c2f_z.jpg,Bottle,264241,http://farm9.staticflickr.com/8380/8455130391_12827e6d45_z.jpg,Handbag,398818,http://farm6.staticflickr.com/5163/5303810265_ef4152d33a_z.jpg,Bottle,250401,http://farm8.staticflickr.com/7140/8158895992_aa51dd1ca2_z.jpg,None,184485,http://farm1.staticflickr.com/131/391988546_ae8230e266_z.jpg,None,,,2021-01-12T01:22:02.359Z,2021-01-12T01:22:36.305Z,2021-01-12T01:22:15.313Z,2021-01-12T01:22:06.715Z,2021-01-12T01:21:52.324Z,2021-01-12T01:22:12.851Z,2021-01-12T01:21:58.863Z,2021-01-12T01:22:42.593Z,2021-01-12T01:22:40.139Z,2021-01-12T01:22:34.635Z,2021-01-12T01:21:11.434Z,2021-01-12T01:21:42.079Z,Win32,en-US,Mon Jan 11 2021 19:21:11 GMT-0600 (Central Standard Time),2021-01-12T01:22:42.593Z,Cutlery,Handbag,Handbag,Handbag,None,None,Handbag,Bottle,Handbag,None,1,1,1,0,1,0,1,1,0,1,7
3UAU495MIISQQDDBCFDDBQ1U9YNOUD,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3EA3QWIZ4IV4GYLD4HFZAHFTDZ6TI9,A1N04FX8AHYPBU,Submitted,2021-01-12T01:20:39+00:00,2021-01-12T01:22:43+00:00,2021-01-19T01:22:43+00:00,,,,124,0% (0/0),0% (0/0),0% (0/0),140017,http://farm3.staticflickr.com/2031/4512963918_4af5ab6a96_z.jpg,None,308486,http://farm6.staticflickr.com/5254/5446372973_8f2d2e79da_z.jpg,None,495903,http://farm9.staticflickr.com/8358/8339675425_08d274d785_z.jpg,Bottle,271875,http://farm2.staticflickr.com/1229/1031377025_eb56fb1d3a_z.jpg,None,331577,http://farm7.staticflickr.com/6060/6321239631_d94b38a3e1_z.jpg,Bottle,387392,http://farm6.staticflickr.com/5085/5214638436_5a6338d268_z.jpg,Handbag,15311,http://farm1.staticflickr.com/22/34900810_46e55789af_z.jpg,Clock,279203,http://farm4.staticflickr.com/3645/3357901596_de8d538b0b_z.jpg,None,321310,http://farm9.staticflickr.com/8404/8756986407_f1cbab51ca_z.jpg,Bottle,371717,http://farm9.staticflickr.com/8222/8340685966_bafcbf40ae_z.jpg,Cutlery,,,2021-01-12T01:22:41.171Z,2021-01-12T01:22:22.971Z,2021-01-12T01:22:10.845Z,2021-01-12T01:22:31.696Z,2021-01-12T01:22:15.547Z,2021-01-12T01:22:34.633Z,2021-01-12T01:22:19.307Z,2021-01-12T01:22:06.892Z,2021-01-12T01:22:37.602Z,2021-01-12T01:22:27.446Z,2021-01-12T01:21:47.180Z,2021-01-12T01:21:55.085Z,Win32,en-US,Mon Jan 11 2021 17:21:47 GMT-0800 (Pacific Standard Time),2021-01-12T01:22:41.171Z,Cutlery,Cutlery,Clock,Cutlery,Handbag,None,Clock,None,Bottle,Bottle,0,0,0,0,0,0,1,1,1,0,3
39WSF6KUV2L91HGPMFY878FRNATEOM,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3SKRO2GZ71RUD9ZS21G1HRBBDK61KL,A2CK0OXMPOR9LE,Submitted,2021-01-12T01:30:53+00:00,2021-01-12T01:31:37+00:00,2021-01-19T01:31:37+00:00,,,,44,0% (0/0),0% (0/0),0% (0/0),445784,http://farm4.staticflickr.com/3132/3095846041_efc273dca1_z.jpg,None,419556,http://farm7.staticflickr.com/6176/6166380057_9190a9db59_z.jpg,Handbag,384794,http://farm5.staticflickr.com/4013/4320402936_288a5a541e_z.jpg,Clock,238505,http://farm9.staticflickr.com/8201/8167917878_cfaaf22d58_z.jpg,Clock,300499,http://farm8.staticflickr.com/7209/6983458479_933fa1dd59_z.jpg,Handbag,185781,http://farm6.staticflickr.com/5030/5884669152_9660441030_z.jpg,Bottle,74431,http://farm4.staticflickr.com/3072/2969716377_842e4fb7a2_z.jpg,None,497002,http://farm8.staticflickr.com/7004/6812727691_bf8c1c1664_z.jpg,Bottle,247631,http://farm4.staticflickr.com/3426/3722447819_4d3b0e3f49_z.jpg,Clock,195510,http://farm8.staticflickr.com/7046/7047995301_d4136cb56f_z.jpg,Handbag,,,2021-01-12T01:31:37.981Z,2021-01-12T01:31:15.914Z,2021-01-12T01:31:19.680Z,2021-01-12T01:31:23.979Z,2021-01-12T01:31:22.638Z,2021-01-12T01:31:30.766Z,2021-01-12T01:31:28.254Z,2021-01-12T01:31:35.797Z,2021-01-12T01:31:18.307Z,2021-01-12T01:31:32.837Z,2021-01-12T01:30:59.985Z,2021-01-12T01:31:11.064Z,Win32,en-US,Mon Jan 11 2021 17:30:59 GMT-0800 (Pacific Standard Time),2021-01-12T01:31:37.981Z,Handbag,Handbag,Clock,Clock,Handbag,None,None,None,Clock,None,0,1,1,1,1,0,1,0,1,0,6
3VEI3XUCZRXGVLXVNLVNVFJ0C4FRPT,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3AQF3RZ558IE498B7W1LWAANDZ5F6V,A1UC260Q0W2A8,Submitted,2021-01-12T01:30:55+00:00,2021-01-12T01:31:36+00:00,2021-01-19T01:31:36+00:00,,,,41,0% (0/0),0% (0/0),0% (0/0),527972,http://farm8.staticflickr.com/7061/6856999901_3652efaa6f_z.jpg,Clock,188616,http://farm6.staticflickr.com/5215/5408240255_8198bf9234_z.jpg,Cutlery,180274,http://farm3.staticflickr.com/2150/2316576889_882d950649_z.jpg,Bottle,271803,http://farm5.staticflickr.com/4008/4342190883_5ffefff287_z.jpg,Cutlery,31971,http://farm4.staticflickr.com/3713/9666064133_84932262a4_z.jpg,None,51791,http://farm1.staticflickr.com/118/301653519_cf7d344a4c_z.jpg,Bottle,316524,http://farm8.staticflickr.com/7317/9739645763_df28a1d07f_z.jpg,Handbag,85155,http://farm4.staticflickr.com/3008/2694359981_042080bb94_z.jpg,Clock,162813,http://farm9.staticflickr.com/8250/8561538914_fc3f8cb31a_z.jpg,Bottle,495438,http://farm4.staticflickr.com/3583/3469579978_a3094d97bd_z.jpg,Cutlery,,,2021-01-12T01:31:16.246Z,2021-01-12T01:31:24.756Z,2021-01-12T01:31:04.622Z,2021-01-12T01:31:36.140Z,2021-01-12T01:31:13.133Z,2021-01-12T01:31:30.765Z,2021-01-12T01:31:21.621Z,2021-01-12T01:31:15.021Z,2021-01-12T01:31:28.917Z,2021-01-12T01:31:33.173Z,2021-01-12T01:30:56.128Z,2021-01-12T01:30:59.540Z,MacIntel,en-US,Mon Jan 11 2021 20:30:56 GMT-0500 (Eastern Standard Time),2021-01-12T01:31:36.140Z,Clock,Cutlery,Bottle,Cutlery,None,Bottle,Handbag,Clock,Bottle,Cutlery,1,1,1,1,1,1,1,1,1,1,10
301KG0KX9CL7EKIMPI8HLY91ELPH2Z,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3CP1TO84PT1YKBWLEIC9KL2Y80O25H,A1N04FX8AHYPBU,Submitted,2021-01-12T01:19:23+00:00,2021-01-12T01:21:15+00:00,2021-01-19T01:21:15+00:00,,,,112,0% (0/0),0% (0/0),0% (0/0),57870,http://farm4.staticflickr.com/3153/2970773875_164f0c0b83_z.jpg,None,493252,http://farm6.staticflickr.com/5457/8839378865_66ae6b7042_z.jpg,None,457401,http://farm4.staticflickr.com/3225/2976590451_3d9700b319_z.jpg,Cutlery,235316,http://farm6.staticflickr.com/5338/9047262554_41e22f3536_z.jpg,Cutlery,453178,http://farm1.staticflickr.com/33/52718900_4121475e7b_z.jpg,None,328883,http://farm5.staticflickr.com/4006/4694022199_f1d49c115e_z.jpg,Bottle,482659,http://farm8.staticflickr.com/7098/7232528898_3b90bc6476_z.jpg,Clock,539951,http://farm5.staticflickr.com/4083/4838592771_2522e7f4ae_z.jpg,Clock,342996,http://farm6.staticflickr.com/5101/5682066890_a30a86f08f_z.jpg,None,95358,http://farm3.staticflickr.com/2386/2532343535_41a2d3a9a0_z.jpg,Handbag,,,2021-01-12T01:21:14.254Z,2021-01-12T01:20:49.935Z,2021-01-12T01:20:22.974Z,2021-01-12T01:21:04.006Z,2021-01-12T01:20:32.011Z,2021-01-12T01:20:43.361Z,2021-01-12T01:20:55.671Z,2021-01-12T01:21:10.471Z,2021-01-12T01:21:06.829Z,2021-01-12T01:20:12.427Z,2021-01-12T01:19:36.269Z,2021-01-12T01:20:00.356Z,Win32,en-US,Mon Jan 11 2021 17:19:36 GMT-0800 (Pacific Standard Time),2021-01-12T01:21:14.254Z,Clock,None,Cutlery,Bottle,Cutlery,Cutlery,Cutlery,Cutlery,Bottle,Handbag,0,1,1,0,0,0,0,0,0,1,3
31SIZS5W59F1VXYANYACVK9AH01RQK,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3DH6GAKTYYPMSA9HERQKITAYOEQZY1,AZ8JL3QNIPY4U,Submitted,2021-01-12T01:20:31+00:00,2021-01-12T01:21:40+00:00,2021-01-19T01:21:40+00:00,,,,69,0% (0/0),0% (0/0),0% (0/0),557721,http://farm7.staticflickr.com/6200/6140286292_96776ed889_z.jpg,Handbag,542511,http://farm9.staticflickr.com/8460/7955568806_74f9bf834b_z.jpg,Clock,109889,http://farm9.staticflickr.com/8204/8226424220_ed4534e632_z.jpg,None,131565,http://farm9.staticflickr.com/8119/8606647892_53ea12a141_z.jpg,Cutlery,227193,http://farm1.staticflickr.com/218/512057986_19134698a4_z.jpg,Bottle,516168,http://farm3.staticflickr.com/2379/2293730995_e2381ffa38_z.jpg,Bottle,478145,http://farm9.staticflickr.com/8537/8602181575_7c1acc689f_z.jpg,Clock,104800,http://farm4.staticflickr.com/3082/2797293301_dd26fd613f_z.jpg,Handbag,70589,http://farm1.staticflickr.com/212/498369421_3a6f4ea411_z.jpg,Handbag,351134,http://farm1.staticflickr.com/22/27230789_c433261dd8_z.jpg,Handbag,,,2021-01-12T01:21:04.310Z,2021-01-12T01:21:25.699Z,2021-01-12T01:21:13.249Z,2021-01-12T01:20:49.469Z,2021-01-12T01:20:57.662Z,2021-01-12T01:21:39.719Z,2021-01-12T01:21:22.505Z,2021-01-12T01:21:34.529Z,2021-01-12T01:21:16.255Z,2021-01-12T01:21:09.960Z,2021-01-12T01:20:39.221Z,2021-01-12T01:20:43.112Z,Win32,en-US,Mon Jan 11 2021 19:20:39 GMT-0600 (Central Standard Time),2021-01-12T01:21:39.719Z,None,Clock,None,None,None,Cutlery,Handbag,Handbag,Handbag,Handbag,0,1,1,0,0,0,0,1,1,1,5
3FSEU3P2NR017YDA0DZC0AJFDM3RRL,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3J4Q2Z4UTY39PDDQCUPJ63DE835WQ5,A3S9H6H7VUNUA0,Submitted,2021-01-12T01:17:19+00:00,2021-01-12T01:19:14+00:00,2021-01-19T01:19:14+00:00,,,,115,0% (0/0),0% (0/0),0% (0/0),316224,http://farm8.staticflickr.com/7288/8737705734_3799b39101_z.jpg,Cutlery,63495,http://farm9.staticflickr.com/8531/8488367406_1c065d2982_z.jpg,Clock,543231,http://farm3.staticflickr.com/2108/2214743212_9bab6cb3e0_z.jpg,None,553588,http://farm1.staticflickr.com/168/379168821_1b0e364b50_z.jpg,Clock,189223,http://farm2.staticflickr.com/1180/1385495187_e93477fc26_z.jpg,Cutlery,86147,http://farm6.staticflickr.com/5542/9318459488_36537c4205_z.jpg,Cutlery,66327,http://farm9.staticflickr.com/8481/8180557127_77095d64d5_z.jpg,Cutlery,139490,http://farm2.staticflickr.com/1367/973464643_a86b414113_z.jpg,None,458510,http://farm8.staticflickr.com/7229/7091739345_ecc6399f2d_z.jpg,Cutlery,217827,http://farm5.staticflickr.com/4119/4817914818_e7b660128d_z.jpg,None,,,2021-01-12T01:18:24.898Z,2021-01-12T01:17:47.501Z,2021-01-12T01:19:16.056Z,2021-01-12T01:18:22.625Z,2021-01-12T01:18:56.078Z,2021-01-12T01:19:10.026Z,2021-01-12T01:17:58.791Z,2021-01-12T01:17:52.252Z,2021-01-12T01:18:12.191Z,2021-01-12T01:18:04.361Z,2021-01-12T01:17:33.153Z,2021-01-12T01:17:41.087Z,Win32,en-US,Mon Jan 11 2021 19:17:33 GMT-0600 (Central Standard Time),2021-01-12T01:19:16.056Z,None,Clock,None,None,None,None,None,Cutlery,Cutlery,Handbag,0,1,1,0,0,0,0,0,1,0,3
3FO95NVK5C0D8DDNF2ZHQKOBZOMRS9,3J2GQK7M7OVXO0EYPLKZL07N4S8POS,Classify images into one of five classes,You will see an image. Your task is to decide which of the following items are in the image. There is only one correct answer.,"image, classification",$0.21,2021-01-12T01:16:52+00:00,1,BatchId:4300554;OriginalHitTemplateId:928390875;,180,604800,2021-01-19T01:16:52+00:00,,,3JC6VJ2SABJNPERPRX5OQ3LWKOHA5X,AZ8JL3QNIPY4U,Submitted,2021-01-12T01:31:51+00:00,2021-01-12T01:33:09+00:00,2021-01-19T01:33:09+00:00,,,,78,0% (0/0),0% (0/0),0% (0/0),256806,http://farm8.staticflickr.com/7218/7380555262_3a6c678659_z.jpg,Clock,225076,http://farm8.staticflickr.com/7339/9469109775_5101de8b0b_z.jpg,Handbag,562527,http://farm8.staticflickr.com/7188/6924623595_8674ee157f_z.jpg,Clock,72883,http://farm4.staticflickr.com/3775/9446107442_ae60bde59f_z.jpg,Handbag,406805,http://farm2.staticflickr.com/1135/1330236131_6533c08080_z.jpg,Cutlery,143358,http://farm2.staticflickr.com/1333/1126847291_b86d117222_z.jpg,Bottle,496215,http://farm4.staticflickr.com/3639/3416320443_7c79313a35_z.jpg,Bottle,170975,http://farm9.staticflickr.com/8323/8132166548_9303e91b71_z.jpg,Cutlery,449400,http://farm5.staticflickr.com/4153/5178730211_b08b5f3fe0_z.jpg,Bottle,244815,http://farm8.staticflickr.com/7187/6922579202_34120ab9b5_z.jpg,Handbag,,,2021-01-12T01:32:38.946Z,2021-01-12T01:32:35.261Z,2021-01-12T01:32:46.920Z,2021-01-12T01:32:49.048Z,2021-01-12T01:32:51.893Z,2021-01-12T01:32:13.463Z,2021-01-12T01:33:08.443Z,2021-01-12T01:32:43.616Z,2021-01-12T01:32:57.450Z,2021-01-12T01:33:00.952Z,2021-01-12T01:32:00.967Z,2021-01-12T01:32:07.119Z,Win32,en-US,Mon Jan 11 2021 19:32:00 GMT-0600 (Central Standard Time),2021-01-12T01:33:08.443Z,None,None,Clock,Handbag,Cutlery,None,Bottle,Cutlery,None,Handbag,0,0,1,1,1,0,1,1,0,1,6
